image,seg_index,model,onnx,img_path,phi,yhat,L_global,L_global_src,global_result,L_global_imputed,L_object,L_object_src,object_result,L_object_imputed,L_background,L_background_src,background_result,L_background_imputed,Gamma,Gamma_defined
resnet_large__label_18__idx_917,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_18__idx_917.png,0.00881195068359375,67,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_19__idx_1885,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_19__idx_1885.png,0.08087015151977539,67,0.0324785113334655,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.11334866285324088,True
resnet_large__label_19__idx_9413,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_19__idx_9413.png,0.1341419219970703,39,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.1341419219970703,True
resnet_large__label_1__idx_8126,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_1__idx_8126.png,0.23236703872680664,99,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0044143199920654,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_21__idx_2858,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_21__idx_2858.png,0.9043521881103516,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.9043521881103516,True
resnet_large__label_21__idx_9995,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_21__idx_9995.png,0.2112579345703125,50,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_22__idx_700,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_22__idx_700.png,0.6419801712036133,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6419801712036133,True
resnet_large__label_25__idx_2209,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_25__idx_2209.png,0.3486480712890625,99,0.1753520965576172,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5240001678466797,True
resnet_large__label_25__idx_2893,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_25__idx_2893.png,0.6032917499542236,23,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_26__idx_212,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_26__idx_212.png,0.5266635417938232,99,0.0621581077575683,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.5888216495513915,True
resnet_large__label_26__idx_8903,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_26__idx_8903.png,0.8616328239440918,99,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_27__idx_7106,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_27__idx_7106.png,0.2598228454589844,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.2598228454589844,True
resnet_large__label_29__idx_242,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_29__idx_242.png,1.341831922531128,99,0.1506123542785644,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.4924442768096924,True
resnet_large__label_2__idx_3801,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_2__idx_3801.png,0.2050340175628662,99,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_2__idx_972,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_2__idx_972.png,1.2420575618743896,99,0.1384229660034179,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-1.3804805278778076,True
resnet_large__label_31__idx_3906,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_31__idx_3906.png,0.3544802665710449,79,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_31__idx_476,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_31__idx_476.png,0.4741806983947754,60,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.4741806983947754,True
resnet_large__label_31__idx_4804,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_31__idx_4804.png,0.3803133964538574,23,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_32__idx_4987,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_32__idx_4987.png,0.8613796234130859,61,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.8613796234130859,True
resnet_large__label_33__idx_313,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_33__idx_313.png,0.8739287853240967,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.8739287853240967,True
resnet_large__label_33__idx_4318,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_33__idx_4318.png,0.6098811626434326,79,0.2074368000030517,lb_min_finite,timeout False,False,0.1745283603668213,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,-0.6427896022796631,True
resnet_large__label_34__idx_4347,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_34__idx_4347.png,0.03800678253173828,23,0.0029540061950683,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.04096078872680658,True
resnet_large__label_34__idx_589,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_34__idx_589.png,0.48427772521972656,79,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.48427772521972656,True
resnet_large__label_34__idx_6873,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_34__idx_6873.png,0.6318292617797852,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6318292617797852,True
resnet_large__label_36__idx_2400,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_36__idx_2400.png,0.2349855899810791,99,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_37__idx_2903,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_37__idx_2903.png,0.5924327373504639,23,0.0761070251464843,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6685397624969481,True
resnet_large__label_37__idx_7273,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_37__idx_7273.png,0.6795740127563477,23,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_40__idx_3718,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_40__idx_3718.png,2.02653431892395,28,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_40__idx_4421,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_40__idx_4421.png,0.8134341239929199,94,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_41__idx_3593,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_41__idx_3593.png,0.37726259231567383,67,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.37726259231567383,True
resnet_large__label_42__idx_1753,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_42__idx_1753.png,0.20772147178649902,79,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_43__idx_6556,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_43__idx_6556.png,0.5407512187957764,28,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5407512187957764,True
resnet_large__label_44__idx_2912,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_44__idx_2912.png,0.07598519325256348,67,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.07598519325256348,True
resnet_large__label_47__idx_6926,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_47__idx_6926.png,0.2507462501525879,60,0.0095655918121337,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.26031184196472157,True
resnet_large__label_48__idx_5797,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_48__idx_5797.png,0.6999213695526123,99,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_48__idx_6431,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_48__idx_6431.png,0.9520721435546875,8,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_48__idx_8860,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_48__idx_8860.png,0.8160281181335449,23,,"missing (result=sat True, lb_num_finite=0)",sat True,False,,"missing (result=sat True, lb_num_finite=0)",sat True,False,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_49__idx_6596,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_49__idx_6596.png,0.7397060394287109,23,0.0559189319610595,lb_min_finite,timeout False,False,0.0603754520416259,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,-0.7352495193481445,True
resnet_large__label_4__idx_3855,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_4__idx_3855.png,0.4634068012237549,23,0.1274363994598388,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5908432006835938,True
resnet_large__label_50__idx_2762,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_50__idx_2762.png,1.1821041107177734,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-1.1821041107177734,True
resnet_large__label_51__idx_2582,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_51__idx_2582.png,1.0140612125396729,28,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_51__idx_3515,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_51__idx_3515.png,0.2826519012451172,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.2826519012451172,True
resnet_large__label_52__idx_161,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_52__idx_161.png,0.6453356742858887,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6453356742858887,True
resnet_large__label_52__idx_2381,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_52__idx_2381.png,0.10795211791992188,71,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.10795211791992188,True
resnet_large__label_53__idx_7605,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_53__idx_7605.png,0.026638507843017578,60,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_55__idx_1524,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_55__idx_1524.png,0.3873777389526367,79,0.0192208290100097,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat False,True,-0.40659856796264643,True
resnet_large__label_58__idx_7923,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_58__idx_7923.png,0.2967391014099121,23,,"missing (result=timeout False, lb_num_finite=0)",timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,,False
resnet_large__label_58__idx_9116,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_58__idx_9116.png,0.29084300994873047,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.29084300994873047,True
resnet_large__label_59__idx_5602,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_59__idx_5602.png,0.6820712089538574,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.6820712089538574,True
