image,seg_index,model,onnx,img_path,phi,yhat,L_global,L_global_src,global_result,L_global_imputed,L_object,L_object_src,object_result,L_object_imputed,L_background,L_background_src,background_result,L_background_imputed,Gamma,Gamma_defined
resnet_large__label_21__idx_2858,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_21__idx_2858.png,0.9043521881103516,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.9043521881103516,True
resnet_large__label_33__idx_313,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_33__idx_313.png,0.8739287853240967,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.8739287853240967,True
resnet_medium__label_20__idx_3539,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_20__idx_3539.png,0.8697576522827148,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.8697576522827148,True
resnet_large__label_32__idx_4987,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_32__idx_4987.png,0.8613796234130859,61,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.8613796234130859,True
resnet_medium__label_33__idx_1208,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_33__idx_1208.png,0.838437557220459,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.838437557220459,True
resnet_medium__label_31__idx_2848,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_31__idx_2848.png,0.7810325622558594,23,0.0483624935150146,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.829395055770874,True
resnet_large__label_88__idx_5910,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_88__idx_5910.png,0.7303779125213623,23,0.0650711059570312,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.7954490184783936,True
resnet_medium__label_84__idx_8846,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_84__idx_8846.png,0.7865078449249268,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.7865078449249268,True
resnet_medium__label_60__idx_4583,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_60__idx_4583.png,0.7779133319854736,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.7779133319854736,True
resnet_medium__label_50__idx_4337,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_50__idx_4337.png,0.7762703895568848,61,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.7762703895568848,True
resnet_medium__label_8__idx_1540,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_8__idx_1540.png,0.7676985263824463,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.7676985263824463,True
resnet_medium__label_17__idx_388,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_17__idx_388.png,0.7650742530822754,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.7650742530822754,True
resnet_medium__label_57__idx_7197,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_57__idx_7197.png,0.7419066429138184,28,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.7419066429138184,True
resnet_medium__label_89__idx_3301,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_89__idx_3301.png,0.735994815826416,67,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.735994815826416,True
resnet_large__label_49__idx_6596,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_49__idx_6596.png,0.7397060394287109,23,0.0559189319610595,lb_min_finite,timeout False,False,0.0603754520416259,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,-0.7352495193481445,True
resnet_medium__label_88__idx_533,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_88__idx_533.png,0.5441975593566895,79,0.260420560836792,lb_min_finite,timeout False,False,0.0727829933166503,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,-0.7318351268768312,True
resnet_large__label_63__idx_2652,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_63__idx_2652.png,0.7203309535980225,99,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.7203309535980225,True
resnet_medium__label_43__idx_7494,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_43__idx_7494.png,0.6945877075195312,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6945877075195312,True
resnet_large__label_90__idx_4217,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_90__idx_4217.png,0.622514009475708,67,0.0707154273986816,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6932294368743896,True
resnet_large__label_59__idx_5602,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_59__idx_5602.png,0.6820712089538574,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.6820712089538574,True
resnet_large__label_66__idx_5883,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_66__idx_5883.png,0.364454984664917,99,0.3135592937469482,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.6780142784118652,True
resnet_large__label_37__idx_2903,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_37__idx_2903.png,0.5924327373504639,23,0.0761070251464843,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6685397624969481,True
resnet_large__label_52__idx_161,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_52__idx_161.png,0.6453356742858887,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6453356742858887,True
resnet_large__label_33__idx_4318,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_33__idx_4318.png,0.6098811626434326,79,0.2074368000030517,lb_min_finite,timeout False,False,0.1745283603668213,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,-0.6427896022796631,True
resnet_large__label_22__idx_700,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_22__idx_700.png,0.6419801712036133,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6419801712036133,True
resnet_medium__label_33__idx_2330,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_33__idx_2330.png,0.5342907905578613,99,0.1045370101928711,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6388278007507324,True
resnet_large__label_34__idx_6873,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_34__idx_6873.png,0.6318292617797852,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6318292617797852,True
resnet_large__label_94__idx_7371,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_94__idx_7371.png,0.6307549476623535,79,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6307549476623535,True
resnet_medium__label_20__idx_9332,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_20__idx_9332.png,0.6257319450378418,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.6257319450378418,True
resnet_large__label_4__idx_3855,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_4__idx_3855.png,0.4634068012237549,23,0.1274363994598388,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5908432006835938,True
resnet_medium__label_2__idx_8228,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_2__idx_8228.png,0.5890169143676758,23,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5890169143676758,True
resnet_large__label_26__idx_212,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_26__idx_212.png,0.5266635417938232,99,0.0621581077575683,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.5888216495513915,True
resnet_medium__label_68__idx_1522,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_68__idx_1522.png,0.48250746726989746,71,0.0928606986999511,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5753681659698485,True
resnet_medium__label_6__idx_4129,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_6__idx_4129.png,0.5710711479187012,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.5710711479187012,True
resnet_medium__label_14__idx_1406,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_14__idx_1406.png,0.547661304473877,79,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.547661304473877,True
resnet_large__label_77__idx_8915,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_77__idx_8915.png,0.5889930725097656,99,0.1993327140808105,lb_min_finite,unsat False,False,0.2410140037536621,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,-0.5473117828369141,True
resnet_large__label_43__idx_6556,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_43__idx_6556.png,0.5407512187957764,28,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5407512187957764,True
resnet_large__label_81__idx_134,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_81__idx_134.png,0.3519301414489746,23,0.1839485168457031,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.5358786582946777,True
resnet_medium__label_85__idx_9936,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_85__idx_9936.png,0.5466046333312988,23,0.0,SAFE->0,unsat False,True,0.0157737731933593,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,-0.5308308601379396,True
resnet_large__label_91__idx_1194,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_91__idx_1194.png,0.5279834270477295,99,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5279834270477295,True
resnet_large__label_25__idx_2209,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_25__idx_2209.png,0.3486480712890625,99,0.1753520965576172,lb_min_finite,unsat False,False,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5240001678466797,True
resnet_large__label_93__idx_7162,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_93__idx_7162.png,0.5177507400512695,99,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.5177507400512695,True
resnet_large__label_13__idx_803,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_13__idx_803.png,0.4925391674041748,28,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.4925391674041748,True
resnet_large__label_34__idx_589,0,CIFAR100_resnet_large,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_large.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_large__label_34__idx_589.png,0.48427772521972656,79,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,0.0,SAFE->0,unsat True,True,-0.48427772521972656,True
resnet_medium__label_80__idx_9109,0,CIFAR100_resnet_medium,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_all/onnx/CIFAR100_resnet_medium.onnx,/Users/zd3504phd/Desktop/XAIV/benchmarks/cifar100_2024/decoded_vnnlibs/resnet_medium__label_80__idx_9109.png,0.31404924392700195,99,0.1604752540588379,lb_min_finite,timeout False,False,0.0,SAFE->0,unsat False,True,0.0,SAFE->0,unsat True,True,-0.47452449798583984,True
