image,object_ratio
n02102318_cocker_spaniel,0.7141661352040817
n01601694_water_ouzel,0.7162587691326531
n02085936_Maltese_dog,0.7213408801020408
n02099601_golden_retriever,0.7240513392857143
n01882714_koala,0.7264030612244898
n01986214_hermit_crab,0.7301698022959183
n01860187_black_swan,0.7312061543367347
n01883070_wombat,0.7316047512755102
n01784675_centipede,0.7316844706632653
n02089973_English_foxhound,0.736686862244898
n01692333_Gila_monster,0.7474689094387755
n02112018_Pomeranian,0.7501195790816326
n01968897_chambered_nautilus,0.7511360012755102
n01829413_hornbill,0.7535873724489796
n02086910_papillon,0.7560786033163265
n02114367_timber_wolf,0.7578722895408163
n02105251_briard,0.7650271045918368
n01688243_frilled_lizard,0.7650868941326531
n01537544_indigo_bunting,0.7687340561224489
n02101556_clumber,0.7694316007653061
n02085782_Japanese_spaniel,0.7737364477040817
n01531178_goldfinch,0.7751116071428571
n01580077_jay,0.7780412946428571
n01756291_sidewinder,0.7790377869897959
n01819313_sulphur-crested_cockatoo,0.781608737244898
n02002724_black_stork,0.7904177295918368
n01833805_hummingbird,0.7912149234693877
n02112706_Brabancon_griffon,0.7956592793367347
n02089078_black-and-tan_coonhound,0.796875
n02099712_Labrador_retriever,0.8002630739795918
n01742172_boa_constrictor,0.8016780931122449
n01806567_quail,0.8072385204081632
n02088364_beagle,0.8089325573979592
n01924916_flatworm,0.8101482780612245
n01443537_goldfish,0.8129982461734694
n02111277_Newfoundland,0.8137157206632653
n01665541_leatherback_turtle,0.8146723533163265
n02112350_keeshond,0.8154496173469388
n02106382_Bouvier_des_Flandres,0.8161272321428571
n02105162_malinois,0.8181002869897959
n02102973_Irish_water_spaniel,0.8204121492346939
n01980166_fiddler_crab,0.8219666772959183
n01622779_great_grey_owl,0.8224250637755102
n02090622_borzoi,0.8230628188775511
n02114712_red_wolf,0.8244180484693877
n02012849_crane,0.8252949617346939
n02100735_English_setter,0.8254743303571429
n01518878_ostrich,0.8288624043367347
n02113186_Cardigan,0.8313536352040817
n01582220_magpie,0.8391860650510204
n01955084_chiton,0.841438137755102
n02086079_Pekinese,0.8430125956632653
n01775062_wolf_spider,0.8449457908163265
n02009229_little_blue_heron,0.8451450892857143
n01770393_scorpion,0.8518813775510204
n01943899_conch,0.8537348533163265
n01641577_bullfrog,0.8552295918367347
n01773797_garden_spider,0.8601124043367347
n02114548_white_wolf,0.8642378826530612
n02113978_Mexican_hairless,0.8669284119897959
n02102177_Welsh_springer_spaniel,0.8696588010204082
n01917289_brain_coral,0.8720105229591837
n01748264_Indian_cobra,0.8722098214285714
n01807496_partridge,0.8724091198979592
n01796340_ptarmigan,0.8753985969387755
n02033041_dowitcher,0.8770727040816326
n01944390_snail,0.8787667410714286
n01770081_harvestman,0.8808992346938775
n01847000_drake,0.8809390943877551
n01677366_common_iguana,0.8823341836734694
n02104029_kuvasz,0.8850446428571429
n02101006_Gordon_setter,0.8853435905612245
n01530575_brambling,0.8874162946428571
n01755581_diamondback,0.8924386160714286
n01735189_garter_snake,0.8959462691326531
n01797886_ruffed_grouse,0.8959861288265306
n01950731_sea_slug,0.8982182716836735
n01484850_great_white_shark,0.9022640306122448
n01776313_tick,0.9045360331632653
n02086240_Shih-Tzu,0.9091198979591836
n01675722_banded_gecko,0.913185586734694
n01773157_black_and_gold_garden_spider,0.9145408163265306
n02090721_Irish_wolfhound,0.9150191326530612
n01795545_black_grouse,0.9189851721938777
n01737021_water_snake,0.9203404017857144
n01855032_red-breasted_merganser,0.9225526147959184
n01682714_American_chameleon,0.9234893176020408
n01828970_bee_eater,0.9238081951530612
n02011460_bittern,0.9287707270408164
n02089867_Walker_hound,0.9300860969387756
n01877812_wallaby,0.933494100765306
n01496331_electric_ray,0.9361447704081632
n01855672_goose,0.9432796556122448
n01774384_black_widow,0.9436981823979592
n01514668_cock,0.9447943239795918
n02105505_komondor,0.9456513073979592
n01687978_agama,0.9474051339285714
n01644373_tree_frog,0.9507932079081632
n01694178_African_chameleon,0.955078125
n01768244_trilobite,0.9576291454081632
n01669191_box_turtle,0.9643654336734694
n01990800_isopod,0.972297512755102
n02009912_American_egret,0.9732342155612244
n01978455_rock_crab,0.9744499362244898
n01704323_triceratops,0.9748883928571428
n01491361_tiger_shark,0.9754663584183674
n02091134_whippet,0.9835379464285714
n02006656_spoonbill,0.9840760522959184
n01930112_nematode,0.9862085459183674
n01614925_bald_eagle,0.9900550063775512
