image,synset,archive_exists,archive_path,xml_count,sample_annotations
n01641577_bullfrog,n01641577,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01641577.tar.gz,0,
n01644373_tree_frog,n01644373,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01644373.tar.gz,0,
n01644900_tailed_frog,n01644900,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01644900.tar.gz,0,
n01665541_leatherback_turtle,n01665541,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01665541.tar.gz,0,
n01667114_mud_turtle,n01667114,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01667114.tar.gz,0,
n01667778_terrapin,n01667778,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01667778.tar.gz,0,
n01669191_box_turtle,n01669191,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01669191.tar.gz,0,
n01675722_banded_gecko,n01675722,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01675722.tar.gz,0,
n01677366_common_iguana,n01677366,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01677366.tar.gz,0,
n01682714_American_chameleon,n01682714,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01682714.tar.gz,0,
n01685808_whiptail,n01685808,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01685808.tar.gz,0,
n01687978_agama,n01687978,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01687978.tar.gz,0,
n01688243_frilled_lizard,n01688243,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01688243.tar.gz,0,
n01692333_Gila_monster,n01692333,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01692333.tar.gz,0,
n01694178_African_chameleon,n01694178,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01694178.tar.gz,0,
n01695060_Komodo_dragon,n01695060,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01695060.tar.gz,0,
n01697457_African_crocodile,n01697457,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01697457.tar.gz,0,
n01704323_triceratops,n01704323,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01704323.tar.gz,0,
n01728920_ringneck_snake,n01728920,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01728920.tar.gz,0,
n01735189_garter_snake,n01735189,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01735189.tar.gz,0,
n01737021_water_snake,n01737021,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01737021.tar.gz,0,
n01739381_vine_snake,n01739381,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01739381.tar.gz,0,
n01742172_boa_constrictor,n01742172,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01742172.tar.gz,0,
n01744401_rock_python,n01744401,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01744401.tar.gz,0,
n01748264_Indian_cobra,n01748264,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01748264.tar.gz,0,
n01755581_diamondback,n01755581,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01755581.tar.gz,0,
n01756291_sidewinder,n01756291,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01756291.tar.gz,0,
n01768244_trilobite,n01768244,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01768244.tar.gz,0,
n01770081_harvestman,n01770081,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01770081.tar.gz,0,
n01770393_scorpion,n01770393,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01770393.tar.gz,0,
n01773157_black_and_gold_garden_spider,n01773157,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01773157.tar.gz,0,
n01773797_garden_spider,n01773797,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01773797.tar.gz,0,
n01774384_black_widow,n01774384,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01774384.tar.gz,0,
n01774750_tarantula,n01774750,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01774750.tar.gz,0,
n01775062_wolf_spider,n01775062,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01775062.tar.gz,0,
n01776313_tick,n01776313,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01776313.tar.gz,0,
n01784675_centipede,n01784675,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01784675.tar.gz,0,
n01795545_black_grouse,n01795545,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01795545.tar.gz,0,
n01796340_ptarmigan,n01796340,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01796340.tar.gz,0,
n01797886_ruffed_grouse,n01797886,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01797886.tar.gz,0,
n01806143_peacock,n01806143,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01806143.tar.gz,0,
n01806567_quail,n01806567,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01806567.tar.gz,0,
n01807496_partridge,n01807496,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01807496.tar.gz,0,
n01817953_African_grey,n01817953,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01817953.tar.gz,0,
n01818515_macaw,n01818515,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01818515.tar.gz,0,
n01819313_sulphur-crested_cockatoo,n01819313,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01819313.tar.gz,0,
n01820546_lorikeet,n01820546,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01820546.tar.gz,0,
n01824575_coucal,n01824575,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01824575.tar.gz,0,
n01828970_bee_eater,n01828970,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01828970.tar.gz,0,
n01829413_hornbill,n01829413,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01829413.tar.gz,0,
n01833805_hummingbird,n01833805,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01833805.tar.gz,0,
n01843065_jacamar,n01843065,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01843065.tar.gz,0,
n01843383_toucan,n01843383,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01843383.tar.gz,0,
n01847000_drake,n01847000,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01847000.tar.gz,0,
n01855032_red-breasted_merganser,n01855032,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01855032.tar.gz,0,
n01855672_goose,n01855672,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01855672.tar.gz,0,
n01860187_black_swan,n01860187,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01860187.tar.gz,0,
n01871265_tusker,n01871265,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01871265.tar.gz,0,
n01872401_echidna,n01872401,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01872401.tar.gz,0,
n01873310_platypus,n01873310,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01873310.tar.gz,0,
n01877812_wallaby,n01877812,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01877812.tar.gz,0,
n01882714_koala,n01882714,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01882714.tar.gz,0,
n01883070_wombat,n01883070,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01883070.tar.gz,0,
n01914609_sea_anemone,n01914609,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01914609.tar.gz,0,
n01917289_brain_coral,n01917289,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01917289.tar.gz,0,
n01924916_flatworm,n01924916,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01924916.tar.gz,0,
n01930112_nematode,n01930112,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01930112.tar.gz,0,
n01943899_conch,n01943899,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01943899.tar.gz,0,
n01944390_snail,n01944390,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01944390.tar.gz,0,
n01945685_slug,n01945685,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01945685.tar.gz,0,
n01950731_sea_slug,n01950731,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01950731.tar.gz,0,
n01955084_chiton,n01955084,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01955084.tar.gz,0,
n01968897_chambered_nautilus,n01968897,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01968897.tar.gz,0,
n01978455_rock_crab,n01978455,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01978455.tar.gz,0,
n01980166_fiddler_crab,n01980166,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01980166.tar.gz,0,
n01981276_king_crab,n01981276,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01981276.tar.gz,0,
n01983481_American_lobster,n01983481,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01983481.tar.gz,0,
n01984695_spiny_lobster,n01984695,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01984695.tar.gz,0,
n01986214_hermit_crab,n01986214,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01986214.tar.gz,0,
n01990800_isopod,n01990800,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n01990800.tar.gz,0,
n02002556_white_stork,n02002556,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02002556.tar.gz,0,
n02002724_black_stork,n02002724,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02002724.tar.gz,0,
n02006656_spoonbill,n02006656,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02006656.tar.gz,0,
n02007558_flamingo,n02007558,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02007558.tar.gz,0,
n02009229_little_blue_heron,n02009229,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02009229.tar.gz,0,
n02009912_American_egret,n02009912,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02009912.tar.gz,0,
n02011460_bittern,n02011460,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02011460.tar.gz,0,
n02012849_crane,n02012849,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02012849.tar.gz,0,
n02033041_dowitcher,n02033041,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02033041.tar.gz,0,
n02085620_Chihuahua,n02085620,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02085620.tar.gz,0,
n02085782_Japanese_spaniel,n02085782,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02085782.tar.gz,0,
n02085936_Maltese_dog,n02085936,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02085936.tar.gz,0,
n02086079_Pekinese,n02086079,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02086079.tar.gz,0,
n02086240_Shih-Tzu,n02086240,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02086240.tar.gz,0,
n02086646_Blenheim_spaniel,n02086646,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02086646.tar.gz,0,
n02086910_papillon,n02086910,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02086910.tar.gz,0,
n02088094_Afghan_hound,n02088094,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02088094.tar.gz,0,
n02088238_basset,n02088238,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02088238.tar.gz,0,
n02088364_beagle,n02088364,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02088364.tar.gz,0,
n02088466_bloodhound,n02088466,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02088466.tar.gz,0,
n02088632_bluetick,n02088632,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02088632.tar.gz,0,
n02089078_black-and-tan_coonhound,n02089078,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02089078.tar.gz,0,
n02089867_Walker_hound,n02089867,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02089867.tar.gz,0,
n02089973_English_foxhound,n02089973,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02089973.tar.gz,0,
n02090379_redbone,n02090379,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02090379.tar.gz,0,
n02090622_borzoi,n02090622,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02090622.tar.gz,0,
n02090721_Irish_wolfhound,n02090721,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02090721.tar.gz,0,
n02091032_Italian_greyhound,n02091032,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02091032.tar.gz,0,
n02091134_whippet,n02091134,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02091134.tar.gz,0,
n02091244_Ibizan_hound,n02091244,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02091244.tar.gz,0,
n02097658_silky_terrier,n02097658,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02097658.tar.gz,0,
n02098105_soft-coated_wheaten_terrier,n02098105,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02098105.tar.gz,0,
n02098286_West_Highland_white_terrier,n02098286,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02098286.tar.gz,0,
n02099267_flat-coated_retriever,n02099267,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02099267.tar.gz,0,
n02099601_golden_retriever,n02099601,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02099601.tar.gz,0,
n02099712_Labrador_retriever,n02099712,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02099712.tar.gz,0,
n02099849_Chesapeake_Bay_retriever,n02099849,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02099849.tar.gz,0,
n02100236_German_short-haired_pointer,n02100236,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02100236.tar.gz,0,
n02100583_vizsla,n02100583,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02100583.tar.gz,0,
n02100735_English_setter,n02100735,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02100735.tar.gz,0,
n02100877_Irish_setter,n02100877,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02100877.tar.gz,0,
n02101006_Gordon_setter,n02101006,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02101006.tar.gz,0,
n02101556_clumber,n02101556,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02101556.tar.gz,0,
n02102040_English_springer,n02102040,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02102040.tar.gz,0,
n02102177_Welsh_springer_spaniel,n02102177,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02102177.tar.gz,0,
n02102318_cocker_spaniel,n02102318,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02102318.tar.gz,0,
n02102480_Sussex_spaniel,n02102480,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02102480.tar.gz,0,
n02102973_Irish_water_spaniel,n02102973,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02102973.tar.gz,0,
n02104029_kuvasz,n02104029,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02104029.tar.gz,0,
n02104365_schipperke,n02104365,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02104365.tar.gz,0,
n02105056_groenendael,n02105056,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105056.tar.gz,0,
n02105162_malinois,n02105162,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105162.tar.gz,0,
n02105251_briard,n02105251,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105251.tar.gz,0,
n02105412_kelpie,n02105412,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105412.tar.gz,0,
n02105505_komondor,n02105505,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105505.tar.gz,0,
n02105641_Old_English_sheepdog,n02105641,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105641.tar.gz,0,
n02105855_Shetland_sheepdog,n02105855,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02105855.tar.gz,0,
n02106166_Border_collie,n02106166,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02106166.tar.gz,0,
n02106382_Bouvier_des_Flandres,n02106382,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02106382.tar.gz,0,
n02106550_Rottweiler,n02106550,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02106550.tar.gz,0,
n02110341_dalmatian,n02110341,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02110341.tar.gz,0,
n02110627_affenpinscher,n02110627,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02110627.tar.gz,0,
n02110806_basenji,n02110806,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02110806.tar.gz,0,
n02110958_pug,n02110958,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02110958.tar.gz,0,
n02111129_Leonberg,n02111129,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02111129.tar.gz,0,
n02111277_Newfoundland,n02111277,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02111277.tar.gz,0,
n02112018_Pomeranian,n02112018,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02112018.tar.gz,0,
n02112137_chow,n02112137,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02112137.tar.gz,0,
n02112350_keeshond,n02112350,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02112350.tar.gz,0,
n02112706_Brabancon_griffon,n02112706,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02112706.tar.gz,0,
n02113023_Pembroke,n02113023,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113023.tar.gz,0,
n02113186_Cardigan,n02113186,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113186.tar.gz,0,
n02113624_toy_poodle,n02113624,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113624.tar.gz,0,
n02113712_miniature_poodle,n02113712,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113712.tar.gz,0,
n02113799_standard_poodle,n02113799,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113799.tar.gz,0,
n02113978_Mexican_hairless,n02113978,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02113978.tar.gz,0,
n02114367_timber_wolf,n02114367,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02114367.tar.gz,0,
n02114548_white_wolf,n02114548,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02114548.tar.gz,0,
n02114712_red_wolf,n02114712,False,/Users/zd3504phd/Desktop/XAIV/analysis/bboxes_annotations/n02114712.tar.gz,0,
